date,opponent,qtr,time,pos,points,n_plays,first_downs_earned,fourth_attempted,fourth_converted
9/1/2018,BREVARD,1,15:00,-30,6,3,0,False,False
9/1/2018,BREVARD,1,09:25,-20,0,7,2,False,False
9/1/2018,BREVARD,1,04:33,-29,6,5,1,True,True
9/1/2018,BREVARD,2,13:21,-19,6,10,4,False,False
9/1/2018,BREVARD,2,06:43,-35,0,6,1,False,False
9/1/2018,BREVARD,2,01:00,-39,6,7,2,False,False
9/1/2018,BREVARD,3,10:09,-18,0,6,1,False,False
9/1/2018,BREVARD,3,04:07,-45,0,4,0,True,False
9/1/2018,BREVARD,3,12:00,-7,0,4,0,False,False
9/1/2018,BREVARD,4,07:06,-25,0,2,1,False,False
9/1/2018,BREVARD,4,03:36,-13,0,7,2,True,False
9/8/2018,CHOWAN,1,11:50,-43,6,2,0,False,False
9/8/2018,CHOWAN,1,08:18,-38,6,3,1,False,False
9/8/2018,CHOWAN,1,05:18,-33,6,9,2,False,False
9/8/2018,CHOWAN,2,14:45,-39,6,11,4,False,False
9/8/2018,CHOWAN,2,07:48,-39,6,4,1,False,False
9/8/2018,CHOWAN,3,14:50,-18,0,4,1,False,False
9/8/2018,CHOWAN,3,11:16,44,0,4,0,True,False
9/8/2018,CHOWAN,3,07:11,-9,0,6,2,False,False
9/8/2018,CHOWAN,3,00:36,-19,0,6,1,False,False
9/8/2018,CHOWAN,4,11:59,-25,6,11,5,False,False
9/8/2018,CHOWAN,4,03:28,-42,0,7,1,True,False
9/13/2018,GUILFORD,1,13:45,-2,0,3,0,False,False
9/13/2018,GUILFORD,1,09:58,-25,6,5,1,False,False
9/13/2018,GUILFORD,1,06:47,-46,6,3,1,False,False
9/13/2018,GUILFORD,1,04:38,40,6,1,0,False,False
9/13/2018,GUILFORD,1,03:00,-40,6,2,1,False,False
9/13/2018,GUILFORD,1,00:59,-26,0,3,0,False,False
9/13/2018,GUILFORD,2,14:09,-16,6,1,0,False,False
9/13/2018,GUILFORD,2,12:02,-25,6,3,0,False,False
9/13/2018,GUILFORD,2,07:54,-25,6,3,1,False,False
9/13/2018,GUILFORD,2,04:30,-37,6,6,1,True,True
9/13/2018,GUILFORD,2,00:06,-25,0,1,0,False,False
9/13/2018,GUILFORD,3,15:00,-40,6,6,2,False,False
9/13/2018,GUILFORD,3,10:35,-25,6,6,2,False,False
9/13/2018,GUILFORD,3,06:02,-20,0,4,1,False,False
9/13/2018,GUILFORD,3,00:21,-25,0,4,1,False,False
9/13/2018,GUILFORD,4,12:24,-25,6,3,0,False,False
9/13/2018,GUILFORD,4,07:09,-25,6,3,1,False,False
9/13/2018,GUILFORD,4,03:23,-25,6,4,1,False,False
9/22/2018,DAYTON,1,15:00,-16,6,11,2,True,True
9/22/2018,DAYTON,1,07:23,-13,6,15,5,False,False
9/22/2018,DAYTON,2,14:17,-17,0,3,0,False,False
9/22/2018,DAYTON,2,10:34,-28,0,4,0,True,False
9/22/2018,DAYTON,2,06:15,-18,0,14,4,False,False
9/22/2018,DAYTON,3,11:17,-30,0,3,0,False,False
9/22/2018,DAYTON,3,04:01,-25,0,5,1,False,False
9/22/2018,DAYTON,3,01:01,-25,0,3,0,False,False
9/22/2018,DAYTON,4,13:10,-26,0,3,0,False,False
9/22/2018,DAYTON,4,08:54,-15,0,5,2,False,False
9/22/2018,DAYTON,4,06:49,-25,6,9,4,False,False
9/29/2018,VALPARAISO,1,15:00,-21,6,13,5,False,False
9/29/2018,VALPARAISO,1,07:54,-20,6,6,3,False,False
9/29/2018,VALPARAISO,1,03:42,-41,0,6,2,True,True
9/29/2018,VALPARAISO,2,10:46,-5,6,15,7,True,True
9/29/2018,VALPARAISO,2,01:24,-18,6,9,5,False,False
9/29/2018,VALPARAISO,3,10:14,-9,0,6,2,True,False
9/29/2018,VALPARAISO,3,03:25,-11,0,7,1,False,False
9/29/2018,VALPARAISO,4,13:29,-2,0,9,3,False,False
9/29/2018,VALPARAISO,4,04:19,-25,6,9,4,False,False
9/29/2018,VALPARAISO,4,00:01,-44,0,1,0,False,False
10/6/2018,JACKSONVILLE,1,15:00,-21,6,12,5,True,True
10/6/2018,JACKSONVILLE,1,03:18,-21,6,6,1,True,True
10/6/2018,JACKSONVILLE,2,11:14,-50,0,3,0,False,False
10/6/2018,JACKSONVILLE,2,07:55,23,6,6,1,False,False
10/6/2018,JACKSONVILLE,3,14:13,-33,6,7,2,False,False
10/6/2018,JACKSONVILLE,3,09:00,-23,6,2,2,False,False
10/6/2018,JACKSONVILLE,3,06:30,-31,6,7,3,False,False
10/6/2018,JACKSONVILLE,4,11:34,-25,0,4,1,False,False
10/6/2018,JACKSONVILLE,4,00:59,43,0,2,0,False,False
