PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,YES,1,10,-42,RUN,6,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 6 YARDS TO THE DAV48 (JASON NIERADKA).",W
1,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,2,4,-48,RUN,5,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 5 YARDS TO THE BRE47, 1ST DOWN DAV (J. TUCKER;JASON NIERADKA).",W
2,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,1,10,47,PASS,4,"STORY, JAMES","MCGUIRE, S.","MCGUIRE, S. PASS COMPLETE TO STORY, JAMES FOR 4 YARDS TO THE BRE43 (SAMUEL BROWN).",L
3,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,2,6,43,RUN,4,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 4 YARDS TO THE BRE39, OUT-OF-BOUNDS (JASON NIERADKA).",W
4,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,3,2,39,PENALTY OPP,0,n/a,n/a,"DUGGER, WESLEY RUSH FOR LOSS OF 2 YARDS TO THE BRE41 (JINSLY JHON;AXEL EASTER), PENALTY BRE OFFSIDE (KANYON LAMBERT) 5 YARDS TO THE BRE34, 1ST DOWN DAV, NO PLAY.",W
5,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,1,10,34,RUN,9,"MCGUIRE, S.",n/a,"MCGUIRE, S. RUSH FOR 9 YARDS TO THE BRE25, OUT-OF-BOUNDS.",W
6,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,2,1,25,RUN,4,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 4 YARDS TO THE BRE21, 1ST DOWN DAV (JASON NIERADKA).",L
7,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,1,10,21,PASS,0,"TABOR, PAT","MCGUIRE, S.","MCGUIRE, S. PASS INCOMPLETE TO TABOR, PAT.",L
8,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,2,10,21,PASS,-1,"TABOR, PAT","MCGUIRE, S.","MCGUIRE, S. PASS COMPLETE TO TABOR, PAT FOR LOSS OF 1 YARD TO THE BRE22 (TREVON CHARLES).",L
9,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,3,11,22,PENALTY DAV,0,n/a,n/a,"MCGUIRE, S. PASS COMPLETE TO LOUTHAN, HUNTER FOR 22 YARDS TO THE BRE0, CLOCK 12:11, PENALTY DAV ILLEGAL TOUCHING (LOUTHAN, HUNTER) 5 YARDS TO THE BRE27, NO PLAY.",L
10,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,3,16,27,PASS,0,"TABOR, PAT","MCGUIRE, S.","MCGUIRE, S. PASS INCOMPLETE TO TABOR, PAT.",L
11,2017,OFFENSE,9/2/2017,BREVARD,1,15:00,NO,4,16,27,PASS,0,"TABOR, PAT","MCGUIRE, S.","MCGUIRE, S. PASS INCOMPLETE TO TABOR, PAT.",L
12,2017,DEFENSE,9/2/2017,BREVARD,1,11:57,YES,1,10,27,RUN,5,BOBBY CLERISIER,n/a,"BOBBY CLERISIER RUSH FOR 5 YARDS TO THE BRE32 (HART, BEN;GRASE, PRESTON).",L
13,2017,DEFENSE,9/2/2017,BREVARD,1,11:57,NO,2,5,32,PASS,6,TYLER GREGORY,RYAN JORDAN,"RYAN JORDAN PASS COMPLETE TO TYLER GREGORY FOR 6 YARDS TO THE BRE38, 1ST DOWN BRE (GRASE, PRESTON;HART, BEN).",L
14,2017,DEFENSE,9/2/2017,BREVARD,1,11:57,NO,1,10,38,RUN,-1,BOBBY CLERISIER,n/a,"BOBBY CLERISIER RUSH FOR LOSS OF 1 YARD TO THE BRE37 (CAMPBELL, N.).",W
15,2017,DEFENSE,9/2/2017,BREVARD,1,11:57,NO,2,11,37,PASS,0,"BUBBA CRAVEN,",RYAN JORDAN,"RYAN JORDAN PASS INCOMPLETE TO BUBBA CRAVEN, QB HURRY BY COLLINS, TONY.",L
16,2017,DEFENSE,9/2/2017,BREVARD,1,11:57,NO,3,11,37,PASS,-8,RYAN JORDAN,n/a,"RYAN JORDAN SACKED FOR LOSS OF 8 YARDS TO THE BRE29 (JORDAN, BOO).",W
17,2017,OFFENSE,9/2/2017,BREVARD,1,10:04,YES,1,10,-36,PASS,0,"HAIRR, COLLIN,","MCGUIRE, S.","MCGUIRE, S. PASS INCOMPLETE TO HAIRR, COLLIN, DROPPED PASS.",L
18,2017,OFFENSE,9/2/2017,BREVARD,1,10:04,NO,2,10,-36,RUN,14,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 14 YARDS TO THE 50 YARDLINE, FUMBLE FORCED BY SAMUEL BROWN, FUMBLE BY DUGGER, WESLEY RECOVERED BY BRE TREVON CHARLES AT BRE45, TREVON CHARLES FOR 9 YARDS TO THE DAV46 (TABOR, PAT).",W
19,2017,DEFENSE,9/2/2017,BREVARD,1,09:38,YES,1,10,-46,PENALTY OPP,0,n/a,n/a,PENALTY BRE PASS INTERFERENCE (MARTIGUS HENLEY) 15 YARDS TO THE BRE39.,W
20,2017,DEFENSE,9/2/2017,BREVARD,1,09:38,NO,1,25,39,RUN,-4,RYAN JORDAN,n/a,"RYAN JORDAN RUSH FOR LOSS OF 4 YARDS TO THE BRE35, FUMBLE FORCED BY CAMPBELL, N., FUMBLE BY RYAN JORDAN RECOVERED BY BRE TYLER GREGORY AT BRE33, OUT-OF-BOUNDS (CAMPBELL, N.).",W
21,2017,DEFENSE,9/2/2017,BREVARD,1,09:38,NO,2,31,33,RUN,-8,J. HOPKINS,n/a,"J. HOPKINS RUSH FOR LOSS OF 8 YARDS TO THE BRE25 (HATALOWICH, G.;PERRY-MARTIN, B).",W
22,2017,DEFENSE,9/2/2017,BREVARD,1,09:38,NO,3,39,25,PASS,10,TYLER GREGORY,RYAN JORDAN,"RYAN JORDAN PASS COMPLETE TO TYLER GREGORY FOR 10 YARDS TO THE BRE35 (HATALOWICH, G.).",W
