opponent,qtr,time,offdef,pos,points,nplays,first_downs_earned,fourth_attempted,fourth_converted
GUILFORD,1,15:00,OFFENSE,-17,6,5,2,False,False
GUILFORD,1,12:21,DEFENSE,40,6,7,2,False,False
GUILFORD,1,10:09,OFFENSE,-25,0,3,0,False,False
GUILFORD,1,08:45,DEFENSE,20,0,3,0,False,False
GUILFORD,1,07:42,OFFENSE,-41,0,4,0,True,False
GUILFORD,1,06:01,DEFENSE,-44,0,4,0,True,False
GUILFORD,1,05:12,OFFENSE,-38,6,5,1,True,True
GUILFORD,1,02:42,DEFENSE,8,6,10,3,False,False
GUILFORD,2,13:37,OFFENSE,-18,6,8,3,False,False
GUILFORD,2,08:45,DEFENSE,40,0,7,1,True,False
GUILFORD,2,06:28,OFFENSE,-35,0,3,0,False,False
GUILFORD,2,04:24,DEFENSE,38,0,3,0,False,False
GUILFORD,2,02:58,OFFENSE,46,0,4,0,False,False
GUILFORD,2,01:59,DEFENSE,20,6,8,4,False,False
GUILFORD,2,00:25,OFFENSE,-28,0,4,1,False,False
GUILFORD,3,14:54,DEFENSE,28,0,10,3,True,False
GUILFORD,3,09:41,OFFENSE,-20,6,12,4,False,False
GUILFORD,3,03:40,DEFENSE,44,0,5,1,False,False
GUILFORD,3,01:14,OFFENSE,-12,6,0,2,False,False
GUILFORD,4,11:59,OFFENSE,-19,6,7,3,False,False
GUILFORD,4,08:08,DEFENSE,25,0,9,1,True,True
GUILFORD,4,05:57,OFFENSE,-40,6,8,4,False,False
GUILFORD,4,02:07,DEFENSE,35,0,4,0,True,False
GUILFORD,4,00:55,OFFENSE,32,0,2,0,False,False
RANDOLPH-MACON,1,15:00,OFFENSE,-28,0,6,1,True,False
RANDOLPH-MACON,1,12:02,DEFENSE,41,6,8,3,False,False
RANDOLPH-MACON,1,07:49,OFFENSE,-30,3,9,2,False,False
RANDOLPH-MACON,1,03:10,DEFENSE,27,0,9,3,False,False
RANDOLPH-MACON,2,12:56,OFFENSE,-25,6,6,2,False,False
RANDOLPH-MACON,2,09:48,DEFENSE,31,0,3,0,False,False
RANDOLPH-MACON,2,08:08,OFFENSE,-30,0,4,0,False,False
RANDOLPH-MACON,2,05:57,DEFENSE,34,6,5,1,False,False
RANDOLPH-MACON,2,03:25,OFFENSE,-10,0,6,1,False,False
RANDOLPH-MACON,2,01:03,DEFENSE,35,0,0,2,True,True
RANDOLPH-MACON,3,14:53,DEFENSE,44,0,3,0,False,False
RANDOLPH-MACON,3,12:55,OFFENSE,-25,0,3,0,False,False
RANDOLPH-MACON,3,11:28,DEFENSE,42,0,6,1,True,False
RANDOLPH-MACON,3,08:24,OFFENSE,-42,0,11,4,False,False
RANDOLPH-MACON,3,02:57,DEFENSE,2,0,13,4,True,False
