PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,YES,1,10,-13,RUN,7,"WICKS, WILLIAM",n/a,"WICKS, WILLIAM RUSH FOR 7 YARDS TO THE DAV20 (TATE, K.;REDDICK, X.).",W
1,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,2,3,-20,RUN,1,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 1 YARD TO THE DAV21 (TATE, K.).",L
2,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,3,2,-21,RUN,5,"TURNER, ELI",n/a,"TURNER, ELI RUSH FOR 5 YARDS TO THE DAV26, 1ST DOWN DAV, OUT-OF-BOUNDS (REDDICK, X.).",W
3,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,1,10,-26,RUN,6,"PHELPS, TYLER",n/a,"PHELPS, TYLER RUSH FOR 6 YARDS TO THE DAV32 (KESSLER, O.;AGEE, L.).",W
4,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,2,4,-32,RUN,3,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 3 YARDS TO THE DAV35 (BOWERS, W.;REDDICK, X.).",W
5,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,3,1,-35,PENALTY DAV,0,n/a,n/a,"TURNER, ELI RUSH FOR 1 YARD TO THE DAV36, OUT-OF-BOUNDS (HORNE, W.), PENALTY GU PERSONAL FOUL OFF-SETTING, PENALTY DAV HOLDING OFF-SETTING, NO PLAY.",L
6,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,3,1,-35,RUN,0,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR NO GAIN TO THE DAV35 (TATE, K.).",L
7,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,4,1,-35,RUN,3,"PHELPS, TYLER",n/a,"PHELPS, TYLER RUSH FOR 3 YARDS TO THE DAV38, 1ST DOWN DAV (UMEMBA, K.).",W
8,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,1,10,-38,PASS,17,"LOUTHAN, HUNTER","PHELPS, TYLER","PHELPS, TYLER PASS COMPLETE TO LOUTHAN, HUNTER FOR 17 YARDS TO THE GU45, 1ST DOWN DAV (FONTENEAUX, J.).",W
9,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,1,10,45,RUN,1,"PHELPS, TYLER",n/a,"PHELPS, TYLER RUSH FOR 1 YARD TO THE GU44 (UMEMBA, K.).",L
10,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,2,9,44,RUN,9,"WICKS, WILLIAM",n/a,"WICKS, WILLIAM RUSH FOR 9 YARDS TO THE GU35, 1ST DOWN DAV, OUT-OF-BOUNDS (BOWERS, W.).",W
11,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,1,10,35,RUN,3,"STORY, JAMES",n/a,"STORY, JAMES RUSH FOR 3 YARDS TO THE GU32 (PARRIS, MARQUIS).",L
12,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,2,7,32,RUN,6,"WICKS, WILLIAM",n/a,"WICKS, WILLIAM RUSH FOR 6 YARDS TO THE GU26 (TATE, K.;DEEN, C.).",W
13,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,3,1,26,RUN,0,"TURNER, ELI",n/a,"TURNER, ELI RUSH FOR NO GAIN TO THE GU26 (AGEE, L.).",L
14,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,4,1,26,PENALTY OPP,0,n/a,n/a,"WICKS, WILLIAM RUSH FOR 25 YARDS TO THE GU1, 1ST DOWN DAV, OUT-OF-BOUNDS (DEEN, C.), PENALTY GU PERSONAL FOUL 0 YARDS TO THE GU1, 1ST DOWN DAV.",W
15,2019,OFFENSE,8/31/2019,GEORGETOWN,1,15:00,NO,1,1,1,RUN,1,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 1 YARD TO THE GU0, TOUCHDOWN, CLOCK 07:35.",L
16,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,YES,1,10,28,RUN,5,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR 5 YARDS TO THE GU33 (JEFFERSON, J.).",L
17,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,2,5,33,RUN,17,"TOMAS, J.",n/a,"TOMAS, J. RUSH FOR 17 YARDS TO THE 50 YARDLINE, 1ST DOWN GU (JEFFERSON, J.).",L
18,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,1,10,50,PASS,15,"CRAYTON, C.","JOHNSON, G.","JOHNSON, G. PASS COMPLETE TO CRAYTON, C. FOR 15 YARDS TO THE DAV35, 1ST DOWN GU (JEFFERSON, J.).",L
19,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,1,10,-35,PASS,4,"TOMAS, J.","JOHNSON, G.","JOHNSON, G. PASS COMPLETE TO TOMAS, J. FOR 4 YARDS TO THE DAV31, OUT-OF-BOUNDS.",W
20,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,2,6,-31,RUN,-1,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR LOSS OF 1 YARD TO THE DAV32 (HILL, HARRISON;PERRY-MARTIN, B).",W
21,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,3,7,-32,PASS,9,"TOMAS, J.","JOHNSON, G.","JOHNSON, G. PASS COMPLETE TO TOMAS, J. FOR 9 YARDS TO THE DAV23, 1ST DOWN GU, OUT-OF-BOUNDS (JEFFERSON, J.).",L
22,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,1,10,-23,RUN,3,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR 3 YARDS TO THE DAV20 (HATALOWICH, G.;ODO, CHIBUIKE).",W
23,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,2,7,-20,PASS,0,"MOULTRIE III,","JOHNSON, G.","JOHNSON, G. PASS INCOMPLETE TO MOULTRIE III, H.",W
24,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,3,7,-20,RUN,11,"JOHNSON, G.",n/a,"JOHNSON, G. RUSH FOR 11 YARDS TO THE DAV9, 1ST DOWN GU (VELA, CADE).",L
25,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,1,9,-9,RUN,1,"JOHNSON, G.",n/a,"JOHNSON, G. RUSH FOR 1 YARD TO THE DAV8 (VELA, CADE).",W
26,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,2,8,-8,RUN,-1,"TOMAS, J.",n/a,"TOMAS, J. RUSH FOR LOSS OF 1 YARD TO THE DAV9 (COLLINS, TONY).",W
27,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,3,9,-9,PASS,0,"TOMAS, J.","JOHNSON, G.","JOHNSON, G. PASS INCOMPLETE TO TOMAS, J..",W
28,2019,DEFENSE,8/31/2019,GEORGETOWN,1,07:29,NO,4,9,-9,PASS,0,"SCHLEY, I.,","JOHNSON, G.","JOHNSON, G. PASS INCOMPLETE TO SCHLEY, I., DROPPED PASS.",W
29,2019,OFFENSE,8/31/2019,GEORGETOWN,1,02:19,YES,1,10,-9,RUN,6,"DUGGER, WESLEY",n/a,"DUGGER, WESLEY RUSH FOR 6 YARDS TO THE DAV15 (SAWICKI, B.).",W
