PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,DEFENSE,8/31/2019,TROY,1,15:00,YES,1,10,40,PENALTY OPP,0,n/a,n/a,"SMITH, B.J. RUSH UP MIDDLE FOR 41 YARDS TO THE CAM19, 1ST DOWN TROY (RIVENS, TYWUN), PENALTY CAM PERSONAL FOUL (RIVENS, TYWUN) 10 YARDS TO THE CAM9, 1ST DOWN TROY.",W
1,2019,DEFENSE,8/31/2019,TROY,1,15:00,NO,1,9,9,OTHER,0,n/a,n/a,1ST AND 9.,n/a
2,2019,DEFENSE,8/31/2019,TROY,1,15:00,NO,1,9,9,PASS,0,"TODD, REGGIE","BARKER, KALEB SIDELINE","BARKER, KALEB SIDELINE PASS INCOMPLETE TO TODD, REGGIE.",W
3,2019,DEFENSE,8/31/2019,TROY,1,15:00,NO,2,9,9,RUN,-1,"SMITH, B.J.",n/a,"SMITH, B.J. RUSH UP MIDDLE FOR LOSS OF 1 YARD TO THE CAM10 (ALLEN, BREVIN;AXSON, LANCE).",W
4,2019,DEFENSE,8/31/2019,TROY,1,15:00,NO,3,10,10,PASS,0,"LETTON, SAM","BARKER, KALEB MIDDLE","BARKER, KALEB MIDDLE PASS INCOMPLETE TO LETTON, SAM.",W
5,2019,DEFENSE,8/31/2019,TROY,1,15:00,NO,4,10,10,OTHER,0,n/a,n/a,"SUMPTER, TYLER FIELD GOAL ATTEMPT FROM 27 GOOD, CLOCK 13:40.",n/a
6,2019,OFFENSE,8/31/2019,TROY,1,13:40,YES,1,10,25,PASS,-5,"WILLIAMS, H.",n/a,"WILLIAMS, H. SACKED FOR LOSS OF 5 YARDS TO THE CAM20 (MATHIS, TRAVON).",L
7,2019,OFFENSE,8/31/2019,TROY,1,13:40,NO,2,15,20,RUN,-2,"FREEMAN, C.J.",n/a,"FREEMAN, C.J. RUSH UP MIDDLE FOR LOSS OF 2 YARDS TO THE CAM18 (MARTIAL, C.).",W
8,2019,OFFENSE,8/31/2019,TROY,1,13:40,NO,3,17,18,PASS,0,"BROOKS, JAQUAN","WILLIAMS, H. SIDELINE","WILLIAMS, H. SIDELINE PASS INCOMPLETE TO BROOKS, JAQUAN (NIXON, KYLE).",L
9,2019,DEFENSE,8/31/2019,TROY,1,12:12,YES,1,10,33,PENALTY OPP,0,n/a,n/a,"BARKER, KALEB SIDELINE PASS COMPLETE TO CLARK, BRET FOR 2 YARDS TO THE TROY35 (WIGGINS, LEVI), PENALTY CAM OFFSIDE DEFENSE (ALLEN, BREVIN) 5 YARDS TO THE TROY38, NO PLAY.",W
10,2019,DEFENSE,8/31/2019,TROY,1,12:12,NO,1,5,38,RUN,1,"SMITH, B.J.",n/a,"SMITH, B.J. RUSH LEFT FOR 1 YARD TO THE TROY39 (DOZIER, DAMIEN).",W
11,2019,DEFENSE,8/31/2019,TROY,1,12:12,NO,2,4,39,PASS,61,"TODD, REGGIE","BARKER, KALEB DEEP","BARKER, KALEB DEEP PASS COMPLETE TO TODD, REGGIE FOR 61 YARDS TO THE CAM0, 1ST DOWN TROY, TOUCHDOWN, CLOCK 11:04.",L
12,2019,OFFENSE,8/31/2019,TROY,1,11:04,YES,1,10,25,RUN,9,"BARR, BRYANT",n/a,"BARR, BRYANT RUSH UP MIDDLE FOR 9 YARDS TO THE CAM34 (TYUS, MELVIN).",W
13,2019,OFFENSE,8/31/2019,TROY,1,11:04,NO,2,1,34,RUN,1,"BARR, BRYANT",n/a,"BARR, BRYANT RUSH UP MIDDLE FOR 1 YARD TO THE CAM35, 1ST DOWN CAM (MARTIAL, C.;MATHIS, TRAVON).",L
14,2019,OFFENSE,8/31/2019,TROY,1,11:04,NO,1,10,35,PASS,8,"SNEAD, CALEB","WILLIAMS, H. SIDELINE","WILLIAMS, H. SIDELINE PASS COMPLETE TO SNEAD, CALEB FOR 8 YARDS TO THE CAM43 (WHISENHUNT, J.).",W
15,2019,OFFENSE,8/31/2019,TROY,1,11:04,NO,2,2,43,RUN,0,"HAWKINS, J.",n/a,"HAWKINS, J. RUSH RIGHT FOR NO GAIN TO THE CAM43 (HARRIS, TJ;TYUS, MELVIN).",L
16,2019,OFFENSE,8/31/2019,TROY,1,11:04,NO,3,2,43,RUN,1,"HAWKINS, J.",n/a,"HAWKINS, J. RUSH UP MIDDLE FOR 1 YARD TO THE CAM44 (CHOLOH, WILL;SAILO, TRAVIS).",L
17,2019,OFFENSE,8/31/2019,TROY,1,11:04,NO,4,1,44,PENALTY OPP,0,n/a,n/a,PENALTY CAM DELAY OF GAME 4 YARDS TO THE CAM40.,W
18,2019,OFFENSE,8/31/2019,TROY,1,07:30,YES,1,10,16,PASS,16,"SNEAD, CALEB","WILLIAMS, H. MIDDLE","WILLIAMS, H. MIDDLE PASS COMPLETE TO SNEAD, CALEB FOR 16 YARDS TO THE TROY0, 1ST DOWN CAM, TOUCHDOWN, CLOCK 07:23.",W
19,2019,DEFENSE,8/31/2019,TROY,1,07:23,YES,1,10,35,PASS,0,"BROWN, D.","BARKER, KALEB DEEP","BARKER, KALEB DEEP PASS INCOMPLETE TO BROWN, D..",W
20,2019,DEFENSE,8/31/2019,TROY,1,07:23,NO,2,10,35,PASS,0,"EAFFORD, TRAY","BARKER, KALEB MIDDLE","BARKER, KALEB MIDDLE PASS INCOMPLETE TO EAFFORD, TRAY.",L
21,2019,DEFENSE,8/31/2019,TROY,1,07:23,NO,3,10,35,PASS,-1,"BARKER, KALEB",n/a,"BARKER, KALEB SACKED FOR LOSS OF 1 YARD TO THE TROY34 (GALLOWAY, J.;NELSON, F.).",W
22,2019,OFFENSE,8/31/2019,TROY,1,06:15,YES,1,10,10,OTHER,0,n/a,n/a,"FISKE, JESSE AT QB FOR CAMPBELL.",n/a
23,2019,OFFENSE,8/31/2019,TROY,1,06:15,NO,1,10,10,RUN,1,"BARGNARE, D.",n/a,"BARGNARE, D. RUSH RIGHT FOR 1 YARD TO THE CAM11 (MARTIAL, C.).",L
24,2019,OFFENSE,8/31/2019,TROY,1,06:15,NO,2,9,11,PASS,0,"SNEAD, CALEB","FISKE, JESSE DEEP","FISKE, JESSE DEEP PASS INCOMPLETE TO SNEAD, CALEB (HARRIS, TJ).",L
25,2019,OFFENSE,8/31/2019,TROY,1,06:15,NO,3,9,11,PASS,8,"WHITEHEAD, A.","FISKE, JESSE MIDDLE","FISKE, JESSE MIDDLE PASS COMPLETE TO WHITEHEAD, A. FOR 8 YARDS TO THE CAM19 (FLETCHER, O.).",L
26,2019,DEFENSE,8/31/2019,TROY,1,04:50,YES,1,10,40,RUN,8,"BILLINGSLEY, DK",n/a,"BILLINGSLEY, DK RUSH LEFT FOR 8 YARDS TO THE TROY48 (AXSON, LANCE).",L
27,2019,DEFENSE,8/31/2019,TROY,1,04:50,NO,2,2,48,RUN,1,"BILLINGSLEY, DK",n/a,"BILLINGSLEY, DK RUSH RIGHT FOR 1 YARD TO THE TROY49 (WILKES, GERALD).",W
