PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,YES,1,10,40,PASS,5,HURST FOR,PAPPAS,PAPPAS PASS COMPLETE TO HURST FOR 5 YARDS TO THE MOR45 (JEROLD EVANS).,W
1,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,NO,2,5,45,PASS,13,"SMITH, JOVA",PAPPAS,"PAPPAS PASS COMPLETE TO SMITH, JOVA FOR 13 YARDS TO THE UNION42, 1ST DOWN MOR (JEROLD EVANS).",W
2,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,NO,1,10,42,PASS,8,HOLDER FOR,PAPPAS,PAPPAS PASS COMPLETE TO HOLDER FOR 8 YARDS TO THE UNION34 (JEROLD EVANS).,W
3,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,NO,2,2,34,PENALTY OPP,0,n/a,n/a,PENALTY MOR FALSE START 4 YARDS TO THE UNION38.,W
4,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,NO,2,6,38,PASS,0,HOLDER,PAPPAS,PAPPAS PASS INCOMPLETE TO HOLDER.,L
5,2019,OFFENSE,8/29/2019,UNION (KY.),1,15:00,NO,3,6,38,PASS,0,MATTINGLY,PAPPAS,PAPPAS PASS INCOMPLETE TO MATTINGLY.,L
6,2019,DEFENSE,8/29/2019,UNION (KY.),1,13:13,YES,1,10,10,PASS,15,DALTON EDWARDS,KENDRIC FURNESS,"KENDRIC FURNESS PASS COMPLETE TO DALTON EDWARDS FOR 15 YARDS TO THE UNION25, 1ST DOWN UNION (HUTCHERSON).",L
7,2019,DEFENSE,8/29/2019,UNION (KY.),1,13:13,NO,1,10,25,RUN,-1,JALEN ECHOLS,n/a,JALEN ECHOLS RUSH FOR LOSS OF 1 YARD TO THE UNION24 (BENVIE;BROWN).,W
8,2019,DEFENSE,8/29/2019,UNION (KY.),1,13:13,NO,2,11,24,RUN,14,KENDRIC FURNESS,n/a,"KENDRIC FURNESS RUSH FOR 14 YARDS TO THE UNION38, 1ST DOWN UNION.",L
9,2019,DEFENSE,8/29/2019,UNION (KY.),1,13:13,NO,1,10,38,PASS,2,JERMA BUCHANNON,KENDRIC FURNESS,KENDRIC FURNESS PASS COMPLETE TO JERMA BUCHANNON FOR 2 YARDS TO THE UNION40 (AUSTIN;BARRETT).,W
