PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,YES,1,10,25,PASS,0,"NELSON, ZACH.","SINNETT, REID","SINNETT, REID PASS INCOMPLETE TO NELSON, ZACH.                                                                                                                    CAL POLY'S JOJO FALO INJURED ON FIRST PLAY.",L
1,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,NO,2,10,25,RUN,4,"MARTINEZ, E",n/a,"MARTINEZ, E RUSH FOR 4 YARDS TO THE USD29 (SHOTWELL, MATT;NAVARRO, NIK).",W
2,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,NO,3,6,29,PASS,26,"KINCAID, DALTON","SINNETT, REID","SINNETT, REID PASS COMPLETE TO KINCAID, DALTON FOR 26 YARDS TO THE CP45, 1ST DOWN USD (MICKEY, BRADLEY).",W
3,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,NO,1,10,45,PASS,-5,"MARTINEZ, E","SINNETT, REID","SINNETT, REID PASS COMPLETE TO MARTINEZ, E FOR LOSS OF 5 YARDS TO THE 50 YARDLINE (NICHOLS, CARTER).",L
4,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,NO,2,15,50,RUN,5,"MARTINEZ, E",n/a,"MARTINEZ, E RUSH FOR 5 YARDS TO THE CP45 (HUMPHREY, KITU;COOPER, AARON).",W
5,2019,OFFENSE,8/31/2019,CAL POLY,1,15:00,NO,3,10,45,PASS,3,"BANDY, MICHAEL","SINNETT, REID","SINNETT, REID PASS COMPLETE TO BANDY, MICHAEL FOR 3 YARDS TO THE CP42 (REZA, SHARKY;WILL, FENTON).",L
6,2019,DEFENSE,8/31/2019,CAL POLY,1,11:35,YES,1,10,10,RUN,3,"HAMLER, JALEN",n/a,"HAMLER, JALEN RUSH FOR 3 YARDS TO THE CP13 (KAMAKA, KAMA;VAIVAO, MARCUS).",W
7,2019,DEFENSE,8/31/2019,CAL POLY,1,11:35,NO,2,7,13,RUN,87,"TRAN-SAMPSON,D.",n/a,"TRAN-SAMPSON,D. RUSH FOR 87 YARDS TO THE USD0, 1ST DOWN CP, TOUCHDOWN, CLOCK 10:48.",L
8,2019,OFFENSE,8/31/2019,CAL POLY,1,10:48,YES,1,10,35,PASS,26,"KINCAID, DALTON","SINNETT, REID","SINNETT, REID PASS COMPLETE TO KINCAID, DALTON FOR 26 YARDS TO THE CP39, 1ST DOWN USD (NICHOLS, CARTER).",W
9,2019,OFFENSE,8/31/2019,CAL POLY,1,10:48,NO,1,10,39,RUN,8,"MARTINEZ, E",n/a,"MARTINEZ, E RUSH FOR 8 YARDS TO THE CP31 (HUMPHREY, KITU).",W
