PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,15:00,YES,1,10,22,RUN,10,"JETER, JARIUS",n/a,"JETER, JARIUS RUSH FOR 10 YARDS TO THE PC32, 1ST DOWN PC (J. JOHNSON;CEDRICK WILCOX).",L
1,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,15:00,NO,1,10,32,RUN,4,"DAVIS, ZOLA",n/a,"DAVIS, ZOLA RUSH FOR 4 YARDS TO THE PC36 (MYLES HARRIS).",W
2,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,15:00,NO,2,6,36,PASS,0,"SIMMONS, MACK","HUFF, TYLER","HUFF, TYLER PASS COMPLETE TO SIMMONS, MACK FOR NO GAIN TO THE PC36 (CAYSAUN WAKELEY).",W
3,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,15:00,NO,3,6,36,RUN,0,"HUFF, TYLER",n/a,"HUFF, TYLER RUSH FOR NO GAIN TO THE PC36 (ETHAN HULL).",W
4,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,12:31,YES,1,10,21,PASS,0,MITCHELL BAILEY,CALVIN TURNER,CALVIN TURNER PASS INCOMPLETE TO MITCHELL BAILEY.,L
5,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,12:31,NO,2,10,21,RUN,4,AJ DAVIS,n/a,"AJ DAVIS RUSH FOR 4 YARDS TO THE JU25 (LANHAM, TRE).",W
6,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,12:31,NO,3,6,25,PASS,0,"YOUNGE-HUMPHREY (MULLINS,",CALVIN TURNER,"CALVIN TURNER PASS INCOMPLETE TO YOUNGE-HUMPHREY (MULLINS, TYLER).",L
7,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,YES,1,10,34,RUN,-1,"DAVIS, ZOLA",n/a,"DAVIS, ZOLA RUSH FOR LOSS OF 1 YARD TO THE PC33 (ETHAN HULL).",W
8,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,2,11,33,PASS,6,"PEARSON, K.","HUFF, TYLER","HUFF, TYLER PASS COMPLETE TO PEARSON, K. FOR 6 YARDS TO THE PC39 (CJ LEWIS).",L
9,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,3,5,39,PASS,0,"MEYERS, DOHNTE","HUFF, TYLER","HUFF, TYLER PASS INCOMPLETE TO MEYERS, DOHNTE.",W
10,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,1,10,45,RUN,4,"JETER, JARIUS",n/a,"JETER, JARIUS RUSH FOR 4 YARDS TO THE PC49 (ETHAN HULL).",W
11,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,2,6,49,RUN,20,"HUFF, TYLER",n/a,"HUFF, TYLER RUSH FOR 20 YARDS TO THE JU31, 1ST DOWN PC (EVAN ANDERSON).",L
12,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,1,10,31,RUN,17,"JETER, JARIUS",n/a,"JETER, JARIUS RUSH FOR 17 YARDS TO THE JU14, 1ST DOWN PC (TORRE PARKER).",L
13,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,1,10,14,RUN,3,"JETER, JARIUS",n/a,"JETER, JARIUS RUSH FOR 3 YARDS TO THE JU11 (JOEL MORRIS;CEDRICK WILCOX).",W
14,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,2,7,11,PASS,-3,"HUFF, TYLER",n/a,"HUFF, TYLER SACKED FOR LOSS OF 3 YARDS TO THE JU14 (CAYSAUN WAKELEY).",W
15,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,3,10,14,PASS,0,"JETER, JARIUS","HUFF, TYLER","HUFF, TYLER PASS INCOMPLETE TO JETER, JARIUS.",W
16,2019,DEFENSE,9/14/2019,PRESBYTERIAN,1,11:35,NO,4,10,14,OTHER,0,n/a,n/a,"MADDREY, PARKER FIELD GOAL ATTEMPT FROM 31 GOOD, CLOCK 07:15.",n/a
17,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,07:10,YES,1,10,19,RUN,2,GARNETT NICOLAS,n/a,"GARNETT NICOLAS RUSH FOR 2 YARDS TO THE JU21 (WILHELM, TYLER).",L
18,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,07:10,NO,2,8,21,RUN,3,GARNETT NICOLAS,n/a,"GARNETT NICOLAS RUSH FOR 3 YARDS TO THE JU24 (WILHELM, TYLER;NAGY, JARRETT).",W
19,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,07:10,NO,3,5,24,RUN,8,BJ RILEY,n/a,"BJ RILEY RUSH FOR 8 YARDS TO THE JU32, 1ST DOWN JU (HAYGOOD, ROD).",W
20,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,07:10,NO,1,10,32,RUN,8,CALVIN TURNER,n/a,"CALVIN TURNER RUSH FOR 8 YARDS TO THE JU40 (MULLINS, TYLER).",W
21,2019,OFFENSE,9/14/2019,PRESBYTERIAN,1,07:10,NO,2,2,40,RUN,6,GARNETT NICOLAS,n/a,"GARNETT NICOLAS RUSH FOR 6 YARDS TO THE JU46, 1ST DOWN JU (NAGY, JARRETT).",W
