PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,OFFENSE,9/7/2019,GU,1,15:00,YES,1,10,25,RUN,5,"JOHNSON, MEKHAI",n/a,"JOHNSON, MEKHAI RUSH FOR 5 YARDS TO THE MAR30 (WILSON, A.).",W
1,2019,OFFENSE,9/7/2019,GU,1,15:00,NO,2,5,30,RUN,-4,"JOHNSON, MEKHAI",n/a,"JOHNSON, MEKHAI RUSH FOR LOSS OF 4 YARDS TO THE MAR26 (PAUL, D.).",L
2,2019,OFFENSE,9/7/2019,GU,1,15:00,NO,3,9,26,PASS,8,"OLIVENCIA, ANTHONY","DAY, AUSTIN","DAY, AUSTIN PASS COMPLETE TO OLIVENCIA, ANTHONY FOR 8 YARDS TO THE MAR34 (DEEN, C.).",L
3,2019,DEFENSE,9/7/2019,GU,1,13:22,YES,1,10,34,RUN,2,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR 2 YARDS TO THE GU36 (GORDON, MARK;FOGLIA, NICK).",W
4,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,2,8,36,RUN,0,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR NO GAIN TO THE GU36 (MCELROY, ANDREW).",W
5,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,3,8,36,RUN,8,"JOHNSON, G.",n/a,"JOHNSON, G. RUSH FOR 8 YARDS TO THE GU44, 1ST DOWN GU, OUT-OF-BOUNDS.",L
6,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,1,10,44,PASS,6,"CRAYTON, C.","JOHNSON, G.","JOHNSON, G. PASS COMPLETE TO CRAYTON, C. FOR 6 YARDS TO THE 50 YARDLINE (FLEITMAN, KYLE;WEBB, RYAN).",L
7,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,2,4,50,RUN,3,"TOMAS, J.",n/a,"TOMAS, J. RUSH FOR 3 YARDS TO THE MAR47 (TOWNSEND, DARIEN;THOMSON, MATT).",L
8,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,3,1,47,RUN,7,"MOULTRIE III, H",n/a,"MOULTRIE III, H RUSH FOR 7 YARDS TO THE MAR40, 1ST DOWN GU (GORDON, MARK;THOMPSON, SETH).",L
9,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,1,10,40,RUN,2,"JOHNSON, G.",n/a,"JOHNSON, G. RUSH FOR 2 YARDS TO THE MAR38 (WRIGHT, TEDDY).",W
10,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,2,8,38,PASS,-7,"JOHNSON, G.",n/a,"JOHNSON, G. SACKED FOR LOSS OF 7 YARDS TO THE MAR45 (DIXON, GRANT).",W
11,2019,DEFENSE,9/7/2019,GU,1,13:22,NO,3,15,45,PASS,0,"EDWARDS, M.","JOHNSON, G.","JOHNSON, G. PASS INCOMPLETE TO EDWARDS, M..",W
12,2019,OFFENSE,9/7/2019,GU,1,08:36,YES,1,10,9,RUN,-6,"DAY, AUSTIN",n/a,"DAY, AUSTIN RUSH FOR LOSS OF 6 YARDS TO THE MAR3, FUMBLE BY DAY, AUSTIN RECOVERED BY MAR DAY, AUSTIN AT MAR3.",L
