PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,YES,1,10,10,RUN,1,TY BROOKS,n/a,"TY BROOKS RUSH FOR 1 YARD TO THE NDSU11, TY BROOKS RUSH FOR 3 YARDS TO THE NDSU14 (BEAU SNUGGS).",W
1,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,3,6,14,PASS,8,D. WILLIAMS,TREY LANCE,"TREY LANCE PASS COMPLETE TO D. WILLIAMS FOR 8 YARDS TO THE NDSU22, 1ST DOWN NDSU, OUT-OF-BOUNDS (DAN DELGROSSO).",L
2,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,1,10,22,RUN,11,D. WILLIAMS,n/a,"D. WILLIAMS RUSH FOR 11 YARDS TO THE NDSU33, 1ST DOWN NDSU (MASON BRUNNER).",L
3,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,1,10,33,PASS,29,C. WATSON,TREY LANCE,"TREY LANCE PASS COMPLETE TO C. WATSON FOR 29 YARDS TO THE BUTLER38, 1ST DOWN NDSU (LUKE SENNETT).",L
4,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,1,10,38,PENALTY OPP,0,n/a,n/a,PENALTY NDSU FALSE START (NOAH GINDORFF) 5 YARDS TO THE BUTLER43.,W
5,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,1,15,43,RUN,5,ADAM COFIELD,n/a,ADAM COFIELD RUSH FOR 5 YARDS TO THE BUTLER38 (BRADLEY MAGEE;JOSEPH CAMACHO).,L
6,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,2,10,38,RUN,5,TY BROOKS,n/a,TY BROOKS RUSH FOR 5 YARDS TO THE BUTLER33 (DEVIN AGUILAR;MICKEY KANE).,L
7,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,3,5,33,RUN,33,TREY LANCE,n/a,"TREY LANCE RUSH FOR 33 YARDS TO THE BUTLER0, 1ST DOWN NDSU, TOUCHDOWN, CLOCK 10:20.",L
8,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,14:50,NO,1,3,3,RUN,0,JAKE REINHOLZ,n/a,JAKE REINHOLZ RUSH ATTEMPT GOOD.,W
9,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,10:14,YES,1,10,32,RUN,-1,KAVON SAMUELS,n/a,KAVON SAMUELS RUSH FOR LOSS OF 1 YARD TO THE BUTLER31 (DERREK TUSZKA).,L
10,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,10:14,NO,2,11,31,RUN,4,BRAD SZNAJDER,n/a,BRAD SZNAJDER RUSH FOR 4 YARDS TO THE BUTLER35 (JABRIL COX).,W
11,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,10:14,NO,3,7,35,PASS,0,ADAM BAKER,SAM BROWN,SAM BROWN PASS INCOMPLETE TO ADAM BAKER (JOSH HAYES).,L
12,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,08:38,NO,1,10,32,RUN,21,TY BROOKS,n/a,"TY BROOKS RUSH FOR 21 YARDS TO THE BUTLER47, 1ST DOWN NDSU (DAN DELGROSSO).",L
13,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,08:38,NO,1,10,47,PASS,47,PHOENIX SPROLES,TREY LANCE,"TREY LANCE PASS COMPLETE TO PHOENIX SPROLES FOR 47 YARDS TO THE BUTLER0, 1ST DOWN NDSU, TOUCHDOWN, CLOCK 07:58.",L
14,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,07:52,YES,1,10,20,PASS,10,BRAD SZNAJDER,SAM BROWN,"SAM BROWN PASS COMPLETE TO BRAD SZNAJDER FOR 10 YARDS TO THE BUTLER30, 1ST DOWN BUTLER, OUT-OF-BOUNDS (JABRIL COX).",W
15,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,07:52,NO,1,10,30,RUN,4,NICK ORLANDO,n/a,NICK ORLANDO RUSH FOR 4 YARDS TO THE BUTLER34 (JAMES HENDRICKS).,L
16,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,07:52,NO,2,6,34,PASS,0,ADAM BAKER,SAM BROWN,SAM BROWN PASS INCOMPLETE TO ADAM BAKER (M. BRIDGES).,L
17,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,07:52,NO,3,6,34,PASS,0,STEPHEN DENNIS,SAM BROWN,SAM BROWN PASS INCOMPLETE TO STEPHEN DENNIS.,L
18,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,1,10,29,RUN,6,TY BROOKS,n/a,TY BROOKS RUSH FOR 6 YARDS TO THE NDSU35 (MASON BRUNNER).,L
19,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,2,4,35,RUN,6,ADAM COFIELD,n/a,"ADAM COFIELD RUSH FOR 6 YARDS TO THE NDSU41, 1ST DOWN NDSU (LUKE SENNETT;JOE ZUCCARI).",L
20,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,1,10,41,RUN,6,D. WILLIAMS,n/a,D. WILLIAMS RUSH FOR 6 YARDS TO THE NDSU47 (MASON BRUNNER).,L
21,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,2,4,47,PASS,8,JOSH BABICZ,TREY LANCE,"TREY LANCE PASS COMPLETE TO JOSH BABICZ FOR 8 YARDS TO THE BUTLER45, 1ST DOWN NDSU.",L
22,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,1,10,45,RUN,6,ADAM COFIELD,n/a,ADAM COFIELD RUSH FOR 6 YARDS TO THE BUTLER39 (MASON BRUNNER).,L
23,2019,DEFENSE,8/31/2019,NORTH DAKOTA STATE,1,06:22,NO,2,4,39,RUN,-6,TREY LANCE,n/a,"TREY LANCE RUSH FOR LOSS OF 6 YARDS TO THE BUTLER45, FUMBLE BY TREY LANCE RECOVERED BY BUTLER MASON BRUNNER AT BUTLER46.",W
24,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,03:23,YES,1,10,46,PASS,0,ADAM BAKER,SAM BROWN,SAM BROWN PASS INCOMPLETE TO ADAM BAKER.,L
25,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,03:23,NO,2,10,46,RUN,1,BRAD SZNAJDER,n/a,BRAD SZNAJDER RUSH FOR 1 YARD TO THE BUTLER47 (DESTIN TALBERT;JACKSON HANKEY).,W
26,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,03:23,NO,3,9,47,PASS,7,BRAD SZNAJDER,SAM BROWN,SAM BROWN PASS COMPLETE TO BRAD SZNAJDER FOR 7 YARDS TO THE NDSU46 (JACKSON HANKEY).,L
27,2019,OFFENSE,8/31/2019,NORTH DAKOTA STATE,1,03:23,NO,4,2,46,PASS,0,BRAD SZNAJDER,SAM BROWN,"SAM BROWN PASS INCOMPLETE TO BRAD SZNAJDER (JAMES HENDRICKS), QB HURRY BY DERREK TUSZKA.",L
