PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,YES,1,10,24,PENALTY OPP,0,n/a,n/a,PENALTY LC FALSE START 5 YARDS TO THE LC19.,W
1,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,NO,1,15,19,PASS,20,MICAH DUNN,LANDON LALONDE SLANT,"LANDON LALONDE SLANT PASS COMPLETE TO MICAH DUNN FOR 20 YARDS TO THE LC39, 1ST DOWN LC (DWIGHT LAWRENCE).",L
2,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,NO,1,10,39,RUN,1,MARK MILBURN,n/a,MARK MILBURN RUSH OVER LEFT TACKLE FOR 1 YARD TO THE LC40 (PETER KATZ).,W
3,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,NO,2,9,40,PASS,2,ZION WILLIAMS,LANDON LALONDE SIDELINE,LANDON LALONDE SIDELINE PASS COMPLETE TO ZION WILLIAMS FOR 2 YARDS TO THE LC42 (JJ HENDERSON).,L
4,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,NO,3,7,42,PASS,18,MICAH DUNN,LANDON LALONDE DEEP OUT,"LANDON LALONDE DEEP OUT PASS COMPLETE TO MICAH DUNN FOR 18 YARDS TO THE STET40, 1ST DOWN LC, OUT-OF-BOUNDS.",L
5,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,15:00,NO,1,10,40,PASS,0,"THE STET39,",LANDON LALONDE MIDDLE,"LANDON LALONDE MIDDLE PASS INTERCEPTED BY JAMIESON CRASKE AT THE STET37, JAMIESON CRASKE RETURN 2 YARDS TO THE STET39, QB HURRY BY JASON WINSTON.",W
6,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,YES,1,10,39,PASS,13,JUSTIN CURTIS,GAVEN DEFILIPPO SIDELINE,"GAVEN DEFILIPPO SIDELINE PASS COMPLETE TO JUSTIN CURTIS FOR 13 YARDS TO THE LC48, 1ST DOWN STET (AJ WHITAKER).",W
7,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,1,10,48,PASS,0, ,GAVEN DEFILIPPO SIDELINE,GAVEN DEFILIPPO SIDELINE PASS INCOMPLETE (HAYDEN BREAUX).,L
8,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,2,10,48,RUN,7,JAREEM WESTCOTT,n/a,JAREEM WESTCOTT RUSH OVER RIGHT END FOR 7 YARDS TO THE LC41 (JACOB JOFFRION).,W
9,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,3,3,41,PASS,0,TONY GILOTTI,GAVEN DEFILIPPO SLANT,GAVEN DEFILIPPO SLANT PASS INCOMPLETE TO TONY GILOTTI (JOAB PERRON).,L
10,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,4,3,41,RUN,5,GAVEN DEFILIPPO,n/a,"GAVEN DEFILIPPO RUSH OVER RIGHT END FOR 5 YARDS TO THE LC36, 1ST DOWN STET, OUT-OF-BOUNDS (JULIUS JOHNSON).",W
11,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,1,10,36,RUN,11,GAVEN DEFILIPPO,n/a,"GAVEN DEFILIPPO RUSH OVER LEFT END FOR 11 YARDS TO THE LC25, 1ST DOWN STET (BENNIE CLARK).",W
12,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,1,10,25,RUN,12,JAREEM WESTCOTT,n/a,"JAREEM WESTCOTT RUSH OVER RIGHT TACKLE FOR 12 YARDS TO THE LC13, 1ST DOWN STET (GERALD BURTON;RASHAWN WEST).",W
13,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,1,10,13,PASS,0,JUSTIN CURTIS,GAVEN DEFILIPPO SIDELINE,GAVEN DEFILIPPO SIDELINE PASS INCOMPLETE TO JUSTIN CURTIS.,L
14,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,2,10,13,PASS,4,B. BORNELUS,GAVEN DEFILIPPO SIDELINE,"GAVEN DEFILIPPO SIDELINE PASS COMPLETE TO B. BORNELUS FOR 4 YARDS TO THE LC9, OUT-OF-BOUNDS.",W
15,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,3,6,9,PASS,5,JAREEM WESTCOTT,GAVEN DEFILIPPO SCREEN,GAVEN DEFILIPPO SCREEN PASS COMPLETE TO JAREEM WESTCOTT FOR 5 YARDS TO THE LC4 (JULIUS JOHNSON).,L
16,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,12:44,NO,4,1,4,RUN,4,JAREEM WESTCOTT,n/a,"JAREEM WESTCOTT RUSH OVER LEFT GUARD FOR 4 YARDS TO THE LC0, 1ST DOWN STET, TOUCHDOWN, CLOCK 09:34.",W
17,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,09:34,YES,1,10,22,RUN,-1,MARK MILBURN,n/a,MARK MILBURN RUSH OVER RIGHT GUARD FOR LOSS OF 1 YARD TO THE LC21 (COLBY DUNCAN;GREGORY MOORE).,W
18,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,09:34,NO,2,11,21,PASS,0,"MICAH DUNN,",LANDON LALONDE DEEP OUT,"LANDON LALONDE DEEP OUT PASS INCOMPLETE TO MICAH DUNN, QB HURRY BY JAMIESON CRASKE, QB HURRY BY GREGORY MOORE.",L
19,2019,DEFENSE,9/7/2019,LOUISIANA COLLEGE,1,09:34,NO,3,11,21,PASS,0,ZION WILLIAMS,LANDON LALONDE SLANT,"LANDON LALONDE SLANT PASS INCOMPLETE TO ZION WILLIAMS (JALON SCOTT), QB HURRY BY JASON WINSTON, PENALTY LC ILLEGAL FORMATION DECLINED.",W
20,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,08:29,YES,1,10,45,PASS,-7,GAVEN DEFILIPPO,n/a,"GAVEN DEFILIPPO SACKED FOR LOSS OF 7 YARDS TO THE STET38 (MICAH LATIN), FUMBLE BY GAVEN DEFILIPPO RECOVERED BY STET AVERY SAMUELS AT STET37.",L
21,2019,OFFENSE,9/7/2019,LOUISIANA COLLEGE,1,08:29,NO,2,18,37,PASS,0,"MICHAEL CARLEY,",GAVEN DEFILIPPO DEEP OUT,"GAVEN DEFILIPPO DEEP OUT PASS INCOMPLETE TO MICHAEL CARLEY, QB HURRY BY JACOB JOFFRION.",W
