PLAY_NUM,YEAR,OFF/DEF,DATE,OPPONENT,QTR,TIME,Pand10,DOWN,TO_GAIN,POS,PLAY_TYPE,GAIN,P1,P2,PLAY_DETAIL,WIN/LOSS
0,2019,OFFENSE,8/31/2019,NORTH DAKOTA,1,15:00,YES,1,10,30,OTHER,0,n/a,n/a,CLOCK 14:53.,n/a
1,2019,OFFENSE,8/31/2019,NORTH DAKOTA,1,15:00,NO,1,10,30,RUN,3,"LAUER,DREW",n/a,"LAUER,DREW RUSH FOR 3 YARDS TO THE DU33 (DONNELL RODGERS;JADE LAWRENCE).",L
2,2019,OFFENSE,8/31/2019,NORTH DAKOTA,1,15:00,NO,2,7,33,RUN,5,"LAUER,DREW",n/a,"LAUER,DREW RUSH FOR 5 YARDS TO THE DU38 (NOAH LARSON;JALEN MORRISON).",W
3,2019,OFFENSE,8/31/2019,NORTH DAKOTA,1,15:00,NO,3,2,38,PENALTY OPP,0,n/a,n/a,"PENALTY DU FALSE START (EVANS,CHRIS) 5 YARDS TO THE DU33.",W
4,2019,OFFENSE,8/31/2019,NORTH DAKOTA,1,15:00,NO,3,7,33,PASS,0,"MCFARLANE,MITCH (JAELEN","CORWIN,IAN","CORWIN,IAN PASS INCOMPLETE TO MCFARLANE,MITCH (JAELEN JOHNSON).",L
5,2019,DEFENSE,8/31/2019,NORTH DAKOTA,1,13:10,YES,1,10,32,PASS,5,CAM MCKINNEY,N KETTERINGHAM,"N KETTERINGHAM PASS COMPLETE TO CAM MCKINNEY FOR 5 YARDS TO THE UND37 (HARDY,JACOB).",L
6,2019,DEFENSE,8/31/2019,NORTH DAKOTA,1,13:10,NO,2,5,37,PASS,22,CAM MCKINNEY,N KETTERINGHAM,"N KETTERINGHAM PASS COMPLETE TO CAM MCKINNEY FOR 22 YARDS TO THE DU41, 1ST DOWN UND, OUT-OF-BOUNDS.",L
7,2019,DEFENSE,8/31/2019,NORTH DAKOTA,1,13:10,NO,1,10,41,RUN,3,N KETTERINGHAM,n/a,"N KETTERINGHAM RUSH FOR 3 YARDS TO THE DU38 (MORALES,DANNY).",W
8,2019,DEFENSE,8/31/2019,NORTH DAKOTA,1,13:10,NO,2,7,38,RUN,3,N KETTERINGHAM,n/a,"N KETTERINGHAM RUSH FOR 3 YARDS TO THE DU35 (SHAFIS,ANDREW).",L
9,2019,DEFENSE,8/31/2019,NORTH DAKOTA,1,13:10,NO,3,4,35,PASS,11,TRAVIS TOIVONEN,N KETTERINGHAM,"N KETTERINGHAM PASS COMPLETE TO TRAVIS TOIVONEN FOR 11 YARDS TO THE DU24, 1ST DOWN UND.",L
